ID;title;DOI;year
696;Farewell;10.1007/s10922-010-9174-9;2010
701;Fenrir;10.1145/1900264.1900303;2010
710;Front;10.1109/AICCSA.2010.5587052;2010
712;Foreword.;10.1016/j.chc.2006.07.002;1948
720;Freefinement;10.1145/2103656.2103661;2012
728;Facebook;;2009
734;FRAMEWORKS;10.1145/2077355.2425808;2011
740;Flips;10.1007/978-3-642-36763-2_1;2012
745;Fuga;10.1145/2542398.2542451;2013
750;FeedBack.;10.1126/science.257.5077.1769;1992
754;Foreword.;10.1016/j.dam.2014.11.011;2015
761;Francis;10.1145/2542398.2542406;2013
764;Focusing;10.1007/BF00127822;1988
768;Flowlearn;;1996
772;Foreword.;10.1111/1471-0528.13012;2014
775;Foreword;10.1109/VLSIT.2012.6242431;2012
781;Foreword;10.1016/S0065-2687(08)60031-X;1986
785;Foreword.;10.1007/BF02659172;1985
788;Foreword;10.1109/JLT.1986.1074786;1986
790;Foreword.;10.1016/j.chroma.2011.02.057;2015
798;Foreword;10.1023/A:1024493908263;2003
804;Fairytales;;1992
808;FreeSurfer.;10.1016/j.neuroimage.2012.01.021;2012
812;FSL.;10.1016/j.neuroimage.2011.09.015;2012
818;FuturICT;;2012
824;FAMILY;;2013
826;Filumis.;;2011
831;Foreword.;10.1016/j.ygyno.2015.01.001;2015
838;Foreword;10.1016/S0074-7750(09)37015-9;2009
841;Frauenpower.;;1997
845;Forum;10.1109/MSPEC.1977.6501640;1977
853;FORUM;10.1515/piko.1990.13.2.63;1990
860;Firewalls;10.1016/S0167-4048(96)90312-0;1996
864;Feedback;10.1109/MCS.2010.935879;2010
867;[Feedback];10.1109/MCS.2014.2364701;2015
871;[Feedback];10.1109/MCS.2014.2385142;2015
875;Foreword;10.1080/10556788.2015.996437;2015
883;Foreword.;10.1023/A:1014559009585;1992
887;Frontier;10.1007/978-3-642-10707-8_16;2010
888;Foreword;10.1016/S0065-2687(08)60059-X;1980
892;Foreword.;10.1016/S0065-2687(08)60201-0;1977
895;Foreword;10.1016/S0065-2687(08)60448-3;1975
900;Foreword.;10.1155/MBD.1994.i;1994
905;Foreword;10.1016/S0074-7696(08)62670-4;1992
909;Frontmatter.;10.1093/carcin/bgq182;2010
911;Fingerprinting.;;2011
915;FaMa.;;2013
922;Forschungsmethoden;;2004
926;Fehlertoleranzverfahren;;1990
929;Fishing;10.1145/312379.312939;1999
935;Frankenskippy;10.1145/312379.312942;1999
940;Foreword;10.1016/S0167-6105(96)90001-X;1996
945;Foreword];10.1007/s00391-011-0273-3;2012
950;Foreword;10.1016/0167-7012(88)90038-3;1988
953;Foreword;10.1016/0168-1605(94)90192-9;1994
956;Foreword;10.1016/0263-8231(90)90034-V;1990
962;Forward;10.1053/S1096-2867(04)00009-X;2004
966;Foreword.;10.1097/GRF.0000000000000092;2015
969;Foreword;10.1016/S0090-6980(00)00092-7;2000
972;Foreword.;10.1016/S0039-9140(03)00353-9;2003
975;Foreword.;10.1016/j.brat.2009.07.009;2009
979;Foreword;10.1109/IIRW.2010.5706470;2010
984;FMOL;;2001
988;Funding;;1995
992;Foreword;10.1016/S0143-7127(82)90407-0;1982
995;Foreword.;10.1016/j.disamonth.2012.04.001;2012
1000;Foreword;10.1016/0146-2806(90)90020-Q;1990
1003;Foreword;10.1016/j.cpcardiol.2005.06.003;2005
1006;Foreword;10.1016/j.cpcardiol.2006.04.001;2006
1009;Foreword.;10.1016/0146-6410(78)90002-9;2014
1013;Forward;10.1016/j.ijms.2004.12.030;2005
1017;Foreword;10.1016/j.matcom.2010.04.006;2010
1020;Foreword;10.1016/0011-3840(82)90043-0;1982
1025;FOREWORD.;10.1016/0011-5029(88)90020-X;1930
1028;Fundamentalism;10.1016/j.religion.2003.09.002;2003
1033;Frontmatter.;;2013
1035;FaCT;;1998
1039;Foreword.;10.1016/j.tcs.2004.03.049;1942
1042;Forward;10.1016/j.cie.2007.06.009;2007
1048;Foreword.;10.3402/gha.v2i0.2109;2009
1052;Farewell;10.1016/S1076-6332(97)80045-1;1997
1056;Foreword;10.1002/net.v51:1;2008
1061;Foreword.;10.1016/S0021-9673(00)00726-3;2001
1069;Farewell;10.1017/S0022381600037890;1982
1073;Foreword;10.1097/00000658-193506000-00010;2000
1077;Foreword;10.1097/00003081-195812000-00012;2000
1080;Foreword.;10.1016/j.fcl.2009.08.009;2006
1083;Foreword.;10.1053/j.ctsap.2004.11.001;2004
1098;Fahrerverhaltensmodelle;10.1007/978-3-8348-9977-4_3;2015
1102;Fahrstreifenwechselassistenz;10.1007/978-3-8348-9977-4_37;2015
1107;Forum;10.1002/pfi.4180081009;1969
1110;GridIJ;10.1007/978-3-540-78640-5_83;2008
1120;GenBank;10.1093/nar/27.1.12;1999
1130;GenBank;10.1093/nar/gkj157;2006
1133;GenBank.;;2014
1137;GenBank.;;2007
1139;Geleitwort;10.1515/piko.1986.9.2.67;1986
1142;GammaPolarSlicer.;;2011
1149;GamesScience;10.1026/1617-6383.18.2.92;2006
1151;Goodbye.;;2014
1155;Gesammeltes;10.1007/s11623-007-0169-y;2007
1156;Gesundheitstelematik.;10.1007/s11623-013-0045-x;2013
1159;Gyges;10.1007/s11623-007-0212-z;2007
1160;Gasteditorial;10.1055/s-2008-1027163;2009
1164;Gasteditorial;;2004
1168;Gasteditorial.;10.1007/s13218-011-0141-8;2011
1171;Generation;10.1007/BF00376045;1989
1178;Gnosis;10.1007/s10992-010-9156-0;2011
1182;Geoportals;10.1016/j.compenvurbsys.2004.09.002;2005
1185;Gather.;;2011
1186;GRAPE.;;2011
1188;GA.;;2011
1189;Gridlock.;;2011
1190;Gossiping.;;2011
1191;Graphs.;;2017
1195;Grouping.;;2010
1196;GML.;;2008
1197;GNU.;;2008
1198;GIS.;;2008
1199;GIService.;;2008
1200;GDAL.;;2008
1201;Geostatistics;10.1007/978-0-387-35973-1_523;2008
1203;Geomedia.;;2008
1204;Geovista.;;2008
1205;GPSBabel.;;2008
1206;GSDSS.;;2008
1207;GSN.;;2008
1208;Gaussian.;;2008
1209;GEOINT.;;2008
1210;Geodesic.;;2009
1211;GC.;;2009
1212;Glyph.;;2009
1213;GMM.;;2009
1214;GMAC.;;2011
1216;GCM.;;2011
1217;GCD.;;2011
1218;GOST.;;2011
1219;Generator.;;2011
1220;Flow;;2013
1224;Geheimschreiber;10.1080/0161-118691861065;1987
1228;Geography;10.1126/science.153.3736.624-a;1966
1232;Gaps;10.1145/205350.205352;1995
1236;Graphicsnet;10.1145/216037.225467;1995
1241;Gex;10.1145/253607.253992;1996
1244;Gitanes;10.1145/253607.253993;1996
1246;Goldies;10.1145/281388.281877;1998
1248;Ghostcatching;10.1145/312379.312948;1999
1254;Genderbender;10.1145/281388.281527;1998
1256;Gaia;10.1145/312379.312829;1999
1258;Gandalf;10.1023/A:1005887414560;1997
1263;Glossary;10.1109/MAHC.1989.10048;1989
1267;Grounding;;2002
1271;Goodbye;10.1145/961261.961266;2003
1275;glAmor;10.1145/1185884.1186014;2004
1279;GelForce;10.1145/1186155.1186161;2004
1290;GENESIS;10.1093/bioinformatics/btn026;2008
1297;Groupme;10.1145/1367497.1367699;2008
1303;Gamesense;10.1145/1526709.1526874;2009
1309;Gorilla;10.1145/1596685.1596736;2009
1312;Greed;10.1145/1596685.1596737;2009
1316;Granularity;;1985
1320;Goodbye;10.1080/10580530.2014.890445;2014
1323;Gemini;10.1145/1665208.1665246;2009
1326;Goobees;10.1145/1400468.1400503;2008
1329;Gurus;10.1080/10580531003685246;2010
1332;GlyphSea;10.1145/1836623.1836700;2010
1336;Git;10.1109/MS.2012.61;2012
1340;Gothic;10.1145/2310076.2310084;2012
1346;gripper;10.1109/TNN.2004.824407;2004
1352;Grow;10.1145/2542398.2542489;2013
1355;Gestaltlines;10.1111/cgf.12104;2013
1363;Geschichte;;2007
1366;Geschichte;10.1007/978-3-642-03988-1_43;2004
1374;Grammaticalization;;2011
1378;"""Genes"".";https://doi.org/10.1007/s12064-008-0025-0;2008
1383;GELEITWORT;10.1007/BF00531766;1962
1387;Gödelisme.;;2012
1391;Geoslavery;10.1109/MTAS.2003.1188276;2003
1396;Geleitwort;;2012
1399;Geleitwort;10.1515/PIKO.2006.194;2006
1402;Genderwahnsinn.;;2007
1405;Geleitwort;10.1515/piko.2008.0014;2008
1407;GRISLEE;;2003
1414;Geschäftsprozeßmodellierung;;1993
1418;Gestaltungstheorie;10.1007/s11576-010-0245-z;2010
1424;GenBank.;10.1093/nar/gkg057;2003
1427;GenBank;10.1093/nar/25.1.1;1997
1429;GenBank;10.1093/nar/21.13.2963;1993
1431;GenBank;10.1093/nar/gkm929;2008
1433;GenBank;10.1093/nar/24.1.1;1996
1435;GenBank;10.1093/nar/gkp1024;2010
1437;Gnutella;10.1007/978-3-642-56176-4_11;2002
1442;GRAMOL;10.1145/51607.51616;1988
1448;GCP;;2002
1461;Geocomputation;10.1016/j.future.2003.11.002;2004
1469;Gaifman;10.1023/B:SYNT.0000029945.01194.28;2004
1474;GPS;10.1109/CW.2008.99;2008
1480;Gears4Net;10.1109/ICPPW.2009.28;2009
1487;GLIDE;10.1007/3-540-45848-4_55;2001
1491;Gaussianization;;2000
1496;Generators;10.1023/A:1019644530302;2002
1500;Gates;;2008
1504;Databases;10.1109/MC.1984.1658971;2007
1509;Databases;10.1038/329194c0;1988
1514;Dataism;10.1145/73877.73889;1989
1518;Dragon;10.3115/100964.100976;1989
1523;DoME;10.1145/340855.341089;2000
1526;GRASPER;10.1007/978-3-540-77002-2_53;2007
1532;Dreamaker;10.1145/253607.253971;1996
1534;Descanso;10.1145/259081.259112;1997
1537;Dustcity;10.1145/259081.259360;1997
1542;DataSplash;10.1145/276305.276377;1998
1554;Dview;10.1145/280953.282416;1998
1557;Diorama;10.1145/280953.282422;1998
1560;Distortion;10.1145/280953.289317;1998
1563;Discussion;10.1016/0148-9062(77)90952-4;1977
1568;Discussion;10.1016/0148-9062(75)91778-7;1975
1573;Digitrama;10.1145/280953.282436;1998
1575;Division;10.1145/312379.312901;1999
1578;Discussion.;10.1109/TMI.1982.4307594;1982
1582;Discussion;10.1053/joms.2000.0580001;2000
1586;Discussion;10.1053/joms.2001.25853;2001
1589;Discussion;10.1016/0278-2391(94)90392-1;1994
1593;Discussion;10.1016/0278-2391(90)90302-I;1990
1597;Discussion.;10.1016/j.jvs.2014.01.057;2014
1600;DIS2002;10.1145/506671.506690;2002
1603;Duck!;10.1109/MCG.2002.1016702;2002
1607;Dialogue;10.1111/j.1547-5069.1991.tb00689.x;1990
1610;Discussion.;10.1053/joms.2001.21871;2001
1611;Discontinuities;;2002
1614;Deconstructing;;2002
1616;Derandomization;10.1007/BFb0053013;1998
1620;Dominoes;10.1007/3-540-59071-4_41;1994
1626;Dictoses;10.1007/BFb0018354;1989
1630;Deduktionsverfahren;;1982
1634;Demonstrations.;10.1109/ICICIC.2007.241;1957
1640;DMorph;10.1109/MCG.2003.1231181;2003
1643;DataMIME™;10.1145/1007568.1007697;2004
1655;Dice;10.1145/1086057.1086154;2005
1659;Drapeability;10.1007/s00454-005-1189-8;2005
1667;Doomsday;10.1126/science.133.3456.936;1961
1670;Deskrama;10.1145/1179133.1179140;2006
1674;DigiWall;10.1145/1179133.1179141;2006
1679;Delivery;10.1145/1179196.1179214;2006
1682;Dialogos;10.1145/1185884.1186013;2004
1685;DARLIN.;;2005
1687;Dreammaker;10.1145/1281740.1281780;2007
1690;Distraxion;10.1145/1400468.1400492;2008
1693;DELHAIZE;10.1145/1504271.1504277;2008
1698;Discussion;10.1016/j.chb.2008.07.003;2009
1703;Daydreamer;10.1145/1596685.1596716;2009
1705;Dix;10.1145/1596685.1596718;2009
1708;Dishes;10.1145/1665137.1665165;2009
1711;Deadline;10.1145/1665208.1665221;2009
1715;Divers;10.1145/1665208.1665223;2009
1718;DYNAMO.;10.1145/1281740.1281781;1950
1720;Designers;10.1007/s10111-005-0001-0;2005
1725;Dogfooding;10.1145/1805986.1806012;2010
1730;DotPay;;2004
1734;Decipherment.;;2013
1738;DataStorm;10.1109/SERVICES.2010.92;2010
1747;Dataspaces;10.1007/978-3-642-12310-8_7;2009
1757;DoNet;;2006
1762;Dedication;10.1016/j.entcs.2012.08.022;2012
1766;Datenqualität;10.1007/s00287-006-0125-5;2007
1770;Dilla;10.1145/1900264.1900291;2010
1776;Datenströme;10.1007/s00287-004-0376-y;2004
1782;Dart;10.1145/1900264.1900297;2010
1785;DRM;10.1093/itnow/bwm019;2007
1788;Dystopia;10.1109/MCSE.2010.129;2010
1793;Dissertationen.;10.1007/s00450-003-0129-1;2014
1799;Dissertationen;10.1007/s00450-005-0208-6;2005
1804;Dissertationen;10.1007/s00450-006-0007-8;2006
1806;Dissertationen;10.1515/PIKO.2001.57;2001
1812;Dissertationen;10.1007/s00450-002-0100-6;2002
1815;Datenintegration.;;2012
1819;Derive;10.1021/ci00015a605;1993
1823;DDFSGEN;10.1007/BF00925123;1992
1832;Datenmodellverdichtung;;1992
1836;DelosDLMS;10.1007/s00799-008-0044-y;2008
1846;Dissertations.;10.1089/met.2004.2.216;2004
1850;Dissertationen.;10.1007/BF00260305;2012
1852;Dissertationen.;10.1365/s35148-011-0231-9;2014
1853;Datensparsamkeit;10.1007/s11623-009-0082-7;2009
1855;Datenschutzmanagementsystem.;10.1007/s11623-013-0111-4;2013
1857;Datenschutzaufreger;10.1007/s11623-011-0093-z;2011
1860;Datenschutzpolitik;10.1007/s11623-008-0185-6;2008
1863;Dressur;10.1007/s11623-008-0169-6;2008
1864;Datenschutzaudit.;10.1007/s11623-014-0075-z;2014
1867;Datennotwehr;10.1007/s11623-008-0048-1;2008
1869;Dauerbrenner;10.1007/s11623-009-0188-y;2009
1871;Distanz.;;2012
1874;Discussion;10.1109/TAC.1962.1105483;1962
1879;Datenschutzerklärung;10.1007/s11623-009-0098-z;2009
1880;Datenumgangskompetenz.;10.1007/s11623-014-0142-5;2014
1883;Defcon;;2009
1888;Determinismus;10.1007/s11623-008-0119-3;2008
1889;Dodudindon;10.1145/1900264.1900302;2010
1894;Datenschutzkultur;10.1007/s11623-008-0135-3;2008
1895;Dokumentenanalyse;;1990
1898;Driftability.;https://doi.org/10.1007/s11229-012-0232-6;2013
1901;Diagnostik;;1994
1904;Deduktionssysteme;;1992
1908;Domain ;;2004
1912;Decoding.;;2008
1913;Detour.;;2008
1914;Deadlocks.;;2011
1916;Debugging.;;2011
1919;DPJ.;;2011
1920;DLPAR.;;2011
1921;Decomposition.;;2011
1922;Determinacy.;;2011
1924;Digraphs.;;2010
1925;DBN.;;2010
1926;DLG.;;2008
1927;DGC.;;2008
1928;DEM.;;2008
1929;Diode.;;2009
1930;Dancing;10.1145/2077355.2425794;2011
1932;Diphones.;;2009
1933;Dermis.;;2009
1934;Digitizer.;;2009
1935;Dedup.;;2009
1936;DAS.;;2009
1937;DVDs.;;2009
1938;Datenverschlüsselung;;1996
1941;DRM.;;2009
1942;Datenschutz;10.1007/978-3-540-76645-2_5;2007
1948;DHT.;;2009
1949;Dedication.;10.1023/A:1017126500840;1992
1953;DW.;;2009
1954;DAC.;;2009
1955;Dependability;10.1002/qre.894;2007
1959;Dataguide.;;2009
1960;Dedication;10.1016/S0022-2860(03)00331-4;2004
1966;Dedication;10.1016/0167-7322(92)80092-V;1992
1971;DISCO.;;2009
1972;Duration.;;2009
1973;DocuDrama;10.1007/s10055-003-0111-z;2003
1984;Drittmittel.;;2004
1986;Datenfunknetze.;;1988
1990;Dump.;;2009
1991;Downsizing;10.1016/0263-2373(93)90020-I;1993
1996;DBC.;;2009
1997;Derivability;;1999
2001;DHP.;;2011
2002;DLP.;;2011
2003;DPA.;;2011
2004;DAC.;;2011
2005;Datenflußrechner;;1993
2008;Dialectometry++.;;2013
2013;DeltaMiner;;2001
2016;Doomsday.;;2006
2018;Dedication;10.1016/S0074-7742(02)50066-0;2002
2022;Dedication;10.1016/B978-0-12-384921-2.00017-3;2011
2026;Datenbankeinsatz;;1995
2030;Datenbankentwurf;;1987
2034;Datenmodelle;;1987
2036;Datenbankhandbuch;;1987
2038;Databases.;;2011
2043;Diagonalization;;2001
2046;Dozentenhandbuch;;1999
2049;Deduktionssysteme;;1994
2052;Deduction;10.1016/0950-7051(92)90044-G;1992
2057;Dokumentationssysteme;;1981
2060;Dragonheart;10.1145/253607.253969;1996
2062;DRIFT;;2007
2064;DataMIME;10.1145/1007568.1007697;2004
2069;Dedication;10.1016/S0168-583X(97)90092-6;1997
2073;Discussion.;10.1111/j.1528-1157.1997.tb06129.x;1997
2081;Dedication;10.1016/0022-247X(87)90111-9;1987
2086;DRAFTER;;1996
2090;Dedication;10.1016/j.molstruc.2004.07.0214;2004
2096;Discussion;10.1016/0022-4898(90)90007-9;1990
2101;Discussion.;10.1002/asmb.904;2001
2108;Discussion;10.1016/0090-8258(88)90271-5;1987
2112;DTAG?;;2002
2117;Discussion;10.1016/S0010-440X(68)80032-X;1968
2120;Dedication;10.1067/j.cpsurg.2007.09.003;2007
2123;Dedication;10.1016/j.cden.2008.12.019;2009
2128;Datenbanksysteme;;1993
2132;Datennetze;;1993
2134;Datacenters;;2007
2138;DataForge.;;2013
2142;DLP;;1998
2144;Documentation;10.1007/3-540-07168-7_82;1972
2149;Directory;10.1016/0961-1290(94)90099-X;1994
2153;Diversification;10.1038/212110b0;1966
2156;Diary.;10.7748/en.23.2.16.s23;2015
2162;Dispositions;10.1007/s11229-005-5864-3;2005
2166;data;10.1215/S0012-7094-68-03522-9;1968
2171;Disjunctivity;;2001
2175;DISCUSSION;10.1126/science.83.2155.369;1936
2178;Discussion;10.1109/T-AIEE.1903.4764385;1903
2181;Discussion: ;10.1097/00002480-196204000-00076;1962
2183;Discussion: ;10.1097/PRS.0b013e3181b1799e;2009
2187;Editorial;10.1021/acs.biomac.7b01762;2013
2192;Editorial;10.1023/A:1009771407489;2010
2197;Education.;10.1145/1125118.1125166;1999
2201;Evaluation.;10.1145/234828.234857;1997
2214;Eclipse;10.1145/253607.253980;1996
2216;Esquisses;10.1145/253607.253985;1996
2218;Eroica;10.1145/281388.281862;1998
2220;Equis;10.1145/280953.289318;1998
2222;Emergence.;10.1145/311625.311986;1981
2225;Elytre;10.1145/312379.312819;1999
2227;Exotica;10.1145/312379.312926;1999
2231;Editorial;10.1145/50087.315834;1988
2234;Escherization;10.1145/344779.345022;2000
2241;Editorial;10.1145/83880.316105;1990
2244;Editorial;10.1016/j.websem.2007.01.001;2007
2251;Editorial.;10.1007/s00399-012-0170-5;1981
2254;Editorial;10.1145/358274.358275;1984
2257;Ecommerce;;2001
2261;Editorial;10.1016/0042-6989(92)90104-Q;1992
2274;Editorial.;10.1159/000119708;2008
2281;Erratum;10.1007/BF00203675;1992
2294;Education;10.1137/SIREAD000043000002000345000001;2001
2298;Erratum.;10.1002/jnr.490420614;2001
2302;Errata.;10.1126/science.204.4399.1266-a;1974
2307;Editorial.;10.1179/096805105X46600;2005
2312;Elsewhere;10.1109/MIC.2003.1200295;2003
2316;Einleitung;10.1007/978-3-531-90832-8_1;1997
2321;Expertensysteme;;1982
2323;Epilogue.;10.1109/MAHC.1983.10095;1990
2328;Errata;10.1287/mksc.22.4.544.24905;2002
2332;Eulogy;;1980
2335;Editorial;10.1023/B:DAMI.0000015956.46291.f2;2004
2339;Essistants;10.1145/957013.957137;2003
2344;Erlang;10.1145/1810891.1810910;2010
2348;Erratum;10.1016/S0092-8674(03)00195-8;2003
2352;Errors;10.1214/aos/1015362191;2003
2357;Erratum;10.1007/s11080-006-8223-z;2006
2361;EmoteMail;10.1145/1186415.1186426;2004
2368;Enviromosaics;10.1145/1186954.1186995;2005
2374;Eigenmoments;10.1016/j.patcog.2006.07.003;2007
2380;Emotion;10.1145/1015530.1015533;2004
2383;Errata;10.1007/s10470-005-6579-6;2005
2391;Economics.;10.1126/science.200.4344.874;2013
2395;Erratum;10.1016/j.cardfail.2010.12.001;2011
2402;Esc;10.1145/1281740.1281786;2007
2405;Errata;10.1126/science.109.2833.386-a;1949
2412;Editorial;10.1016/j.cor.2006.12.015;2008
2419;Evolvability;10.1145/1462153.1462156;2009
2424;ED;10.1145/1596685.1596721;2009
2425;Energie!;10.1145/1596685.1596723;2009
2428;Ephemeral;10.1145/1596685.1596726;2009
2432;EVOBEAT;10.1145/1596685.1596728;2009
2435;Exhale;10.1145/1280120.1280138;2007
2439;Ego;10.1145/1281740.1281782;2007
2440;Equilibrio;10.1145/1281740.1281785;2007
2443;Exaggeration;;1988
2447;Einführung;10.1007/978-3-642-01073-6_1;1981
2459;Editorial];10.1055/s-2004-832673;2007
2465;Editorial.;10.1093/femsre/fuu005;1983
2469;Erratum.;10.1016/S0378-4754(73)80030-8;1981
2474;Exist;10.1145/1900264.1900267;2010
2477;Exodus.;10.1145/1900264.1900317;1972
2480;EyeCerts;10.1109/TIFS.2006.873604;2006
2486;Editorial.;10.1515/HMBCI.2010.065;2002
2490;Erratum.;"10.1002/1520-6300(200007/08)12:4&lt;576::AID-AJHB24&gt;3.0.CO;2-P";2000
2496;Erratum;10.1016/j.gca.2004.01.001;2004
2508;EXODUS;10.1145/2466627.2481233;2013
2513;Ed.;10.1145/2542398.2542498;2013
2516;Event;10.1016/j.diin.2004.04.009;2005
2518;Events;10.1007/s10973-005-0912-2;2005
2523;Erratum;10.1016/0016-7037(85)90249-2;2000
2526;Elsewhere;10.1109/MIC.2004.1297268;1998
2529;Elsewhere;10.1109/MIC.2004.11;2004
2532;Elsewhere;10.1109/MIC.2004.59;2004
2534;Elsewhere;;2001
2537;Elsewhere.;;2004
2538;Erratum.;10.1080/00324728.1971.10405823;2001
2544;Editorial;" 10.1109/TCAD.2014.2380491 ";2015
2547;Editorial.;10.1007/s101030050014;1999
2551;Editorial;10.1016/j.cose.2010.06.001;2010
2555;Editorial.;10.1016/j.jconrel.2015.03.021;2015
2559;Editorial.;10.1007/s12286-011-0109-y;2013
