ID;title;DOI;year
31415;BOOK REVIEWS.;10.1080/00324728.1972.10405555;2001
31431;Book reviews.;10.3233/BEN-1992-5409;1992
31435;Book reviews.;10.1093/icb/42.2.408;2002
31441;Book review;10.1016/j.mcm.2008.05.037;2008
31444;Background replacement;10.1145/1400885.1400949;2008
31447;Book Review;10.1007/s10606-014-9216-z;2015
31451;Book review:;10.1162/comj.2008.32.1.91;2008
31453;Book reviews.;10.1080/00324728.1969.10405287;1969
31464;Book Reviews.;10.1109/TC.1973.5009120;2015
31467;Box racer;10.1145/1400468.1400482;2008
31470;Book review;10.1016/j.artint.2010.11.023;2011
31474;Book review.;10.3109/13651509709024717;1997
31476;Book Review;10.1016/S0893-6080(05)80095-4;1992
31483;Binary OWL.;;2013
31489;Building Optimization;10.1007/978-3-642-14834-7_54;2010
31494;Beyond OpenURL;;2009
31497;Book Reviews;10.1287/inte.1090.0487;2010
31499;Behavioral Operations;10.4249/scholarpedia.10422;2010
31502;Bake-Off.;;2017
31503;Buffer Overrun.;;2011
31504;Blind Reflectometry;10.1007/978-3-642-15549-9_4;2010
31508;Bounded randomness;10.1007/978-3-642-27654-5_5;2012
31517;Book review.;10.1007/BF02059900;1994
31524;Bean transfers;10.1145/1721933.1721948;2010
31527;Desert, 1997;10.1080/00332920701319574;2007
31530;Deflection 1;10.1145/1185884.1185954;2004
31533;Bell polynomials;10.1145/29309.29317;1987
31536;Basic paramodulation;10.1006/inco.1995.1131;1995
31542;Bagging predictors;10.1023/A:1018054314350;1996
31545;Beyond pages;10.1145/253607.253625;1996
31547;Basis partitions;10.1016/S0012-365X(97)00101-5;1998
31550;Baxter permutations;10.1016/S0012-365X(97)00112-X;1998
31554;Book previews;10.1145/275269.275279;1998
31557;Backtrack Programming;10.1145/321296.321300;1965
31562;Bayesian PCA;;1999
31564;Brainmaker Professional;;1992
31565;Belastungsorientierte Produktionslogistiksteuerung;;1990
31569;Behavioural Presentations;10.1007/BFb0013040;1988
31573;Behavioral programming;10.1145/2209249.2209270;2012
31578;Back Propagation;10.1007/BFb0027022;1995
31580;Brain Power;10.1109/MIS.2003.1200718;2003
31582;Believer project;10.1145/1045416.1045419;1978
31586;Being paintings;10.1145/1086057.1086145;2005
31589;Ball-Polyhedra;10.1007/s00454-007-1334-7;2007
31595;Bunched polymorphism;10.1017/S0960129508007159;2008
31600;Bound propagation;10.1613/jair.1130;2003
31606;Bayesian Poker;;1999
31613;Bayesian probability;10.1007/s11229-009-9471-6;2010
31615;Balanced partitioning;10.1109/43.552086;1996
31620;Broadening participation;10.1145/2381083.2381096;2012
31624;Biological printing;10.1145/2503673.2503679;2013
31629;Banquet presentation;10.1016/S1386-5056(02)00111-9;2003
31632;Blame Prediction.;;2013
31635;Bound Propagation;;2011
31637;Be prepared.;10.1038/nm0609-585;2009
31641;Book preview;10.1145/581951.581968;2002
31644;Book preview;10.1145/345242.345257;2000
31646;Book preview;10.1145/382899.382905;2001
31648;Book previews;10.1145/174809.273858;1994
31649;Book preview;10.1145/275269.275279;1998
31651;Book preview;10.1145/769759.769776;2003
31653;Book previews;10.1145/234757.273851;1996
31654;Blank page;10.1109/VTS.2013.6548870;2013
31658;Book reviews.;10.1080/00324728.1980.10412843;1980
31672;Bimagic Labelings.;;2008
31677;Buchsteiner Loops;10.1142/S0218196709005482;2007
31682;Bookish Librarians.;;2010
31684;Batch Learning.;;2017
31685;Basic Lemma.;;2017
31686;Broadcasting Protocols;;2005
31690;BAR primer;10.1109/DSN.2008.4630097;2008
31698;Barrel Pseudotilings.;;2012
31702;Branched Polymers;10.4169/193009709X458582;2009
31705;Bandwidth Packing;10.1007/BF02679614;2001
31711;Branch Predictors.;;2011
31713;Breakeven Point.;;2017
31714;Biometric Privacy.;;2011
31718;Binding Pattern.;;2011
31719;Bilinear Pairings.;;2011
31720;Back matter;10.1039/C6FD90007K;2016
31724;Bad peripherals;10.1109/MSP.2005.6;2005
31729;DiversiWeb 2011;10.1145/1988852.1988861;2011
31735;Dagstuhl 2000;10.1006/jcom.2002.0646;2002
31739;Datenschutz 2013.;10.1007/s00103-010-1150-8;2013
31740;Diagrams 2002;;2002
31743;DDI 3.;;2006
31745;Binary Queries;;2002
31749;Block jam;10.1145/1242073.1242102;2002
31756;Bjork - joga;10.1145/281388.281813;1998
31757;Best Practices;10.1201/1086/43300.7.3.19980901/31003.4;1998
31759;Brian Knep;10.1145/1086057.1086103;2005
31761;Beanspruchungsgerechtes Konstruieren;;1994
31766;Bollywood kommt!;10.1026/1617-6383.18.1.31;2006
31769;Biometric Keys.;;2011
31770;Balanced matroids;10.1145/129712.129716;1992
31774;Boolean minors;10.1016/0012-365X(93)E0191-6;1995
31777;Beyond ML;10.1145/251595.251612;1997
31781;Bimodal multicast;10.1145/312203.312207;1999
31790;Better mousetraps;10.1145/504390.504416;1994
31794;Bayesian MARS;10.1023/A:1008824606259;1998
31799;Binding machines;10.1162/089120102317341747;2002
31803;Begriffsbildung/modellierung;;1989
31807;Boltzmann Machines;10.1007/BFb0027026;1995
31809;Broadcast MSCs;10.1007/s00165-004-0046-5;2004
31815;Background mathematics;10.1145/1185657.1185850;2006
31818;Block Mason;;2008
31824;Blob manipulation;10.1145/2148131.2148193;2012
31827;B method;10.1007/11542384_18;2006
31829;Benchmarking methodology;;2013
31838;Brain machines;10.1007/s00779-013-0681-z;2014
31842;Blending margins;;2011
31845;B-Maniac.;;2014
31849;Bloom maps;;2007
31853;Boiling Frogs?;10.1109/MSP.2003.10005;2003
31855;Biometrics futures;10.1016/0167-4048(92)90037-R;1992
31858;Balanced Loading;10.1287/opre.40.2.238;1992
31864;Basic forever;10.1145/270507.270519;1997
31868;Bayesian logic;10.1016/0167-9236(94)90031-0;1994
31871;Brain freeze;10.1038/scientificamericanmind0409-10a;2009
31873;better life;10.1145/253607.253931;1996
31875;BRAP forensics;10.1145/1349026.1349030;2008
31876;Backus' language;10.1145/366920.366925;1962
31879;Beyond fun;10.1145/1015530.1015547;2004
31880;Breaking loose;10.1145/383694.383705;2001
31881;Broadcasting forever;10.1109/GAMENETS.2009.5137436;2009
31886;Bamboo flute;10.1145/1690388.1690496;2009
31891;Blue Faith;10.1145/1280120.1280245;2007
31894;Beyond freebird;10.1145/1869086.1869099;2010
31896;Bipartizing fullerenes;10.1016/j.ejc.2012.03.028;2012
31900;Boolean Functions;10.1016/j.dam.2012.07.021;2013
31904;Blind Fingerprinting;;2008
31908;Bauhaus Linda;10.1007/3-540-59450-7_5;1994
31913;Bidirectional lightcuts;10.1145/2185520.2185555;2012
31917;Balanced matrices;10.1016/j.disc.2005.12.033;2006
31924;Boot Loader;;2006
31926;Biomorphic mitosis;10.1016/0097-8493(91)90017-C;1991
31929;Bounded Forgetting.;;2011
31931;Bounded Fairness;10.1007/978-3-540-39910-0_14;2003
31936;Binomial filters;10.1007/BF00936945;1996
31940;Biometric Fusion.;;2011
31941;Boolean Functions.;;2011
31943;Bricolage Forever;;1999
31946;Beyond Metadata;;2005
31950;Brain Machines;10.3233/978-1-60750-638-6-204;2010
31952;Binary Multirelations;10.1007/978-3-540-24615-2_12;2003
31957;Belykh map.;;2011
31960;Barkley model;10.4249/scholarpedia.1877;2008
31962;Boltzmann machine;10.4249/scholarpedia.1668;2007
31964;Bidomain model;10.4249/scholarpedia.6221;2008
31966;Boolean Minimisation;10.1093/comjnl/16.2.174;1973
31969;Bibliographic Manipulation;10.1002/spe.4380100503;1980
31971;Binomial Matrices;10.1023/A:1012207124894;2001
31978;Blog Mining.;;2017
31979;BIR Model.;;2009
31980;Biba Model.;;2011
31981;Biometric Matching.;;2011
31983;BLP Model.;;2011
31984;Back matter;10.1109/TVCG.2008.113;2008
31998;Balanced matrices;10.1007/BF01584535;1972
32002;b-MINIMALITY;10.1142/S0219061307000664;2007
32007;Biophysical micromixer.;10.3390/s90705379;2009
32013;Bipartable graphs;10.1016/0095-8956(88)90050-0;1988
32017;Bipolarizable graphs;10.1016/0012-365X(90)90176-I;1990
32020;Biped gymnastics;;1991
32025;Bounded graphs;10.1016/0012-365X(91)90331-U;1991
32028;Blue Gene;10.1007/3-540-39999-2_4;2000
32032;Beyond geovisualization.;10.1109/MCG.2006.74;2006
32036;BAR Gossip;;2006
32043;Bubble girl;10.1145/1179196.1179207;2006
32044;"Beck ""Girl""";10.1145/1281740.1281760;2007
32047;Brace generation;10.1002/jgt.v38:3;2001
32049;Biform Games;10.1287/mnsc.1060.0591;2007
32055;Being Geek;10.1109/MM.2010.110;2010
32056;Balancing games;10.1016/0095-8956(77)90057-0;1977
32060;Bipolar grouping;10.1109/ICME.2010.5583062;2010
32064;Bayesian ignorance;10.1016/j.tcs.2012.05.017;2012
32067;Borrowing interpolation;10.1093/logcom/exr007;2012
32070;Beautiful interpolants;10.1007/978-3-642-39799-8_22;2013
32073;Business intelligence;;2014
32077;Bespoke Infrastructures;10.1109/MS.2014.2;2014
32078;Biological Indeterminacy.;https://doi.org/10.1007/s11948-012-9379-2;2012
32081;Breitband-ISDN.;;1991
32083;Benutzerorientierte Informationssysteme.;;1987
32086;Bisplit graphs;10.1016/j.disc.2004.08.046;2005
32091;Backups Guru;;2002
32092;Betriebsübergreifendes Geschäftsprozessmanagement;;1995
32095;Baustein GEOMETRIE;10.1016/0097-8493(83)90012-2;1983
32100;Boolean inequations;10.1016/j.disc.2006.07.006;2007
32103;Beyond Icons;;1992
32107;BeadLoom Game.;;2013
32112;Bypassing Greeklish!;;2004
32119;Basal ganglia;10.4249/scholarpedia.1825;2007
32121;Bigeodetic graphs;10.1007/BF01864174;1988
32127;Banach Games;;1984
32129;Biomolecular Immunocomputing;10.1007/978-3-540-45192-1_10;2003
32137;Being Informative;;2005
32141;Bit Inference;;2008
32144;Business Intelligence;10.1007/978-0-387-39940-9_881;2009
32146;Bankruptcy games;10.1007/BF02109593;1987
32153;Blum Integer.;;2011
32154;Biarc curves;10.1016/0010-4485(75)90086-X;1975
32158;Bio-CAD;10.1016/j.cad.2005.02.001;2005
32161;Benutzerdefinierte Constraints;;1993
32166;Broader horizons;10.1145/2240236.2240244;2012
32168;Beyond Hadoop;10.1145/2398356.2398364;2013
32170;Brain Hallucination;10.1007/978-3-540-88682-2_38;2008
32174;BCI-homomorphisms;10.2478/v10037-008-0045-8;2008
32179;Black Hole;10.1097/CHI.0b013e318173964d;2008
32184;Balanced Hypercubes;;1992
32188;Barnes-Hut.;;2011
32189;Bio-Computing;;1989
32194;Big Books;10.1080/10580539608906980;1996
32197;Bilateral commitment;10.1016/j.jet.2009.03.004;2006
32203;Bayesian Classification;;1988
32210;Brainy Communicator;10.1109/ICME.2007.4284566;2007
32215;Brain connectivity;10.4249/scholarpedia.4695;2007
32216;Bot countermeasures;10.1007/s11416-007-0043-3;2007
32222;Binary coding;10.1109/TIT.1954.1057463;1954
32225;Blackboard Classroom;;1999
32227;Bidirectional Coroutines;10.1016/0020-0190(85)90099-7;1985
32230;Branced Covering;10.1007/BF02187917;1988
32233;Blockage Contraction.;10.1007/s10992-012-9231-9;2013
32235;Blue CHiP.;;2011
32237;Beowulf Clusters.;;2011
32238;Bottom Clause.;;2017
32239;Browser Cookie.;;2011
32240;Bank Card.;;2011
32241;Block Ciphers.;;2011
32243;Broadband ISDN;10.1016/0140-3664(88)90080-1;1988
32248;Believing Conjunctions;10.1023/A:1005114419965;1999
32252;Bodies INCorporated;10.1145/253607.253618;1996
32254;Barrier inference;10.1145/268946.268974;1998
32259;Binary Cumulants;10.1006/aama.2000.0692;2000
32262;Biometric identification;10.1145/328236.328110;2000
32266;Business Intelligence;;2002
32271;Blondie-III;10.1109/64.58021;1990
32275;Beyond Interfaces;;1999
32278;Boxed iterations;10.1016/S0096-3003(02)00344-2;2003
32282;Backtracking intrusions;10.1145/1165389.945467;2003
32287;Backtracking intrusions;10.1145/1047915.1047918;2005
32289;Breakthrough ideas;10.1145/1094855.1094863;2005
32306;Be´zier brushstrokes;10.1016/0010-4485(90)90040-J;1990
32309;“Byteing” back;"3.3.CO;2-8"" target=""_self"" class=""small-link-text""10.1002/(SICI)1099-0526(199801/02)3:33.3.CO;2-8";1998
32310;Beam Breaker;10.1145/280953.289234;1998
32311;Beyond Brittleness;;2002
32312;Barbed Bisimulation;10.1007/3-540-55719-9_114;1992
32316;Barrier Boosting;;2000
32323;Bug Busters;10.1109/MS.2006.40;2006
32325;Beach ball;10.1145/1281740.1281759;2007
32326;Building blocks;10.1145/1281740.1281764;2007
32328;Better biplots;10.1016/j.csda.2008.06.013;2009
32335;Backdoor Branching;10.1287/ijoc.1120.0531;2011
32341;Bioinformatics booming;10.1109/MCISE.2002.1014974;2002
32344;Broken Builds;10.1145/1737923.1740550;2010
32345;Breathe brush;10.1145/1836845.1836868;2010
32346;Burj Babil;10.1145/2077355.2425814;2011
32348;Bunkie & booboo;10.1145/281388.281824;1998
32350;Bhattacharyya boosting;10.1109/ICPR.2008.4761134;2008
32356;Building character;10.1145/1721933.1721936;2010
32358;Bibliographic coupling;10.1002/asi.4630230413;1972
32361;Beyond biometrics;10.1016/j.procs.2010.04.284;2010
32366;Bekenstein bound;10.4249/scholarpedia.7374;2008
32368;Bautin bifurcation;10.4249/scholarpedia.1853;2007
32369;Biosemiotic Bateson.;;2008
32372;Black Boxes;;2008
32375;Building Brands;10.1287/mksc.1080.0358;2008
32380;Biological Computers;10.1109/TEC.1957.5222019;1957
32383;Eigenschaften der von linearen Automaten erkennbaren Worte;10.1007/BF00263590;1974
32398;Bradford curves;10.1016/0306-4573(94)90069-8;1994
32401;Beyond coding;10.1145/242224.242481;1996
32403;Brain cell;10.1145/259081.259110;1997
32404;Basic Concepts;;1985
32408;Bounded Concurrency;10.1007/BFb0036184;1997
32411;Building Cyberspace.;10.1109/MCG.1996.511844;1996
32414;Beyond CMOS;;2002
32418;Benchmarketing Competition;10.1109/MC.2003.1250853;2003
32419;Backing creativity;10.1145/2483852.2483860;2013
32420;Before Clarity;10.1109/MS.2004.37;2004
32422;bubble cosmos;10.1145/1179133.1179137;2006
32428;Binary clustering;10.1016/j.dam.2007.05.024;2008
32433;Bio circuit;10.1145/1709886.1709993;2010
32437;Bargaining Chains;10.1287/mnsc.1100.1251;2010
32440;Biological Computation;10.1093/comjnl/bxs078;2011
32444;Background Cut;10.1007/11744047_48;2006
32447;Biorthogonal coiflets;10.1109/78.782213;1999
32453;Bayesian chance.;https://doi.org/10.1007/s11229-011-9994-5;2012
32458;Biharmonic Coordinates;10.1111/j.1467-8659.2012.03130.x;2012
32463;Bootstrap Contraction;10.1007/s11225-012-9418-7;2013
32465;Biochemical connectionism;10.1007/s11047-013-9400-y;2013
32474;Belief Calculus;;2006
32476;Backward Control;10.1111/j.1749-818X.2007.00048.x;2008
32478;Bicartesian Coherence;10.1023/A:1020568830946;2002
32480;Byte/Counterbyte;10.1080/15567280701418015;2006
32482;Beyond CHIL.;;2009
32484;Basic Concepts.;;2012
32486;Beyond CRUD.;;2011
32491;Benchmark Characterization;10.1109/2.67193;1991
32497;Berufsqualifizierender Datenverarbeitungsunterricht;;1981
32500;Building counterexamples;10.1016/S0012-365X(96)00081-7;1997
32503;Bookshelf communication;10.1145/312379.312533;1999
32505;BRDF display;10.1145/1280720.1280847;2007
32511;Biharmonic distance;10.1145/1805964.1805971;2010
32515;Big Data;10.1007/s40954-015-0068-7;2017
32520;Bayesian Defogging;10.1007/s11263-011-0508-1;2012
32525;Brain divided;10.1145/2633956.2633987;2014
32527;Big data;10.1145/2331042.2331045;2013
32533;Bernhard Dorn;;1992
32535;Biometric Databases;;2005
32540;Bidder collusion;10.1016/j.jet.2005.12.004;2007
32544;Biological Computing;;2006
32550;Bisection Debugging;;1997
32554;Better Computers;;1962
32557;Balancing Covectors.;;2011
32562;Bootstrap Control;10.1109/TAC.2005.861722;2006
32573;Bridge-CA;;2001
32575;Bicritical domination;10.1016/j.disc.2005.09.013;2005
32580;Bridge decay;10.1016/S0378-8733(02)00017-5;2002
32582;Behaviour (discussion);;1980
32588;Bipartite Designs;10.1007/3-540-69346-7_3;1998
32592;Brown Dwarfs;10.1126/science.3975606;1985
32596;Big Data.;;2014
32601;Bird Display;10.1038/175567a0;1955
32603;Beyond efficiency;10.1145/2505340;2013
32606;Brian Evans;10.1145/1086057.1086086;2005
32607;Beamspace ESPRIT;10.1109/78.275607;1994
32613;Butterfly effect;10.1145/2503541.2503640;2013
32616;Basic Entrenchment;10.1023/A:1022988014704;2003
32618;Butterfly effect;10.1016/j.cub.2010.02.026;2010
32621;BMIINT Editorial;;2009
32626;Breaking EMAP.;;2007
32634;Boundary extension;10.4249/scholarpedia.3324;2009
32637;Bimonotone enumeration;10.1090/S0025-5718-08-02162-5;2009
32640;Behavioral Equivalences.;;2011
32642;Bisimulation Equivalence.;;2011
32643;Bellman Equation.;;2017
32644;Broadcast Encryption.;;2011
32646;Binary Exponentiation.;;2011
32647;Bradfordizing effects;;2009
32650;Dynamic Critiquing;10.1007/978-3-540-28631-8_55;2004
32658;Discovery channels.;;2005
32661;Dynamic Cluster;;2006
32665;Digital Compressors;;1994
32669;Dynamic Compilation;;2002
32672;Dependable Computing;10.1590/S0104-65002005000100001;2005
32679;Dickson curves;10.1155/IJMMS/2006/42818;2006
32682;Diverse Classes;;1989
32684;Digital curation;10.1108/10650750710831466;2007
32687;Deductive completeness;;1996
32689;Diner City;;2002
32691;Datenschutz & Computer.;10.1007/s11623-013-0236-5;2013
32692;Der Cunc;;2002
32693;DSB-Check;;2003
32694;Discovering communication;10.1080/09540090600768567;2006
32699;Dependent Coercions;10.1016/S1571-0661(05)80314-7;1999
32703;Data Centers.;;2011
32705;Dependence Cone.;;2011
32706;Data Cube.;;2017
32707;Data Copy.;;2009
32708;Differential Cryptanalysis.;;2011
32710;Digital Certificate.;;2011
32711;Decongestion Control;;2006
32716;Doctoral Consortium;10.1145/2808580.2808675;2015
32720;Deconstructing blogs;10.1108/14684520810889691;2008
32723;Distributed bisimulations;10.1145/76359.76369;1989
32729;Deep Blue;10.1016/S0004-3702(01)00129-1;2002
32736;Differential BDDs;10.1007/BFb0015246;1994
32741;Deliberative coherence;10.1007/BF00414005;1996
32745;Deductive Chauvinism;10.1023/A:1005206520112;1999
32748;Directed Bigraphs;10.1016/j.entcs.2007.02.031;2007
32752;Detecting backdoors;;2000
32757;Dynamic bluescreens;10.1145/1400885.1400955;2008
32760;Dynamic backtracking;10.1613/jair.1;1993
32762;Digital batteries;10.1002/cplx.v14:3;2009
32765;Digital bundling;10.1007/s10257-009-0117-5;2010
32770;Deontic BPMN;;2011
32775;Desktop Browsers.;;2008
32777;Deep Blue.;;2006
32779;Dopamine Bonuses;;2000
32781;Dangerous Behaviour;;1978
32783;Duadic codes;10.1109/TIT.1987.1057300;1987
32787;Dataflow computing;10.1007/3-540-18099-0_26;1987
32795;Data compression;10.1109/45.1889;1988
32800;Discriminant circumscription;10.1007/3-540-53487-3_32;1990
32804;Detecting Cheaters;10.1109/MSP.2011.28;2011
32805;Data compression;10.1016/0306-4573(92)90060-D;1992
32810;Difference Covers;10.1017/S0963548307008401;2007
32813;Distributed Computing;10.1109/ICCP.2010.5606426;2015
32815;Database Benchmarks;;2009
32818;Dynamical billiards;10.4249/scholarpedia.1813;2007
32820;Digital Bangladesh.;;2013
32824;Database Browsing;;2002
32828;Das Bundesverfassungsgericht;10.1007/s11623-010-0174-4;2010
32830;Disciplined C;10.1145/219726.219747;1995
32834;Digital calculus;10.1016/S0020-0255(96)00194-6;1997
32838;Direct combination;10.1145/302979.303057;1999
32843;Dualing cubes;10.1145/306363.306386;1999
32847;Distributed Computing;10.1145/500559.500561;2001
32850;Delaying Commitment;10.1109/52.2027;1988
32852;Distributed CCS;10.1145/156668.156702;1992
32856;Distributed Control;;1981
32858;Diophantine Complexity;10.1007/3-540-18740-5_64;1987
32861;Diagram characterization;;1974
32866;Distributed Communication;10.1007/3-540-45254-0_14;2000
32872;Digging CACM;10.1145/1327452.1327460;2008
32875;Diverse connections;10.1145/1859204.1859205;2010
32877;DFT closure;;2000
32884;Dynamic counting;;1995
32889;Deterministic Concurrency;;1994
32893;Distributed Computing;10.1145/131214.131287;1992
32897;Defining configuring;10.1017/S0890060498124034;1998
32901;Data Communications;10.1016/j.microrel.2004.07.004;2004
32905;Damage control.;10.1145/1400214.1400221;2013
32908;Delegating classifiers;10.1145/1015330.1015395;2004
32913;Decomposing cloth;10.1145/1028523.1028543;2004
32916;Design communication;10.1145/1125451.1125465;2006
32921;Deconstructing commit;10.1109/ISPASS.2004.1291357;2004
32927;Differential categories;10.1017/S0960129506005676;2006
32932;Drawing circle;10.1145/1242073.1242302;2002
32936;DNS Complexity;10.1145/1242489.1242499;2007
32939;Democratising change;10.1007/s00146-007-0096-3;2007
32943;Distributed cognition;10.1007/s10111-004-0172-0;2005
32946;David Crawford;10.1145/1086057.1086079;2005
32948;Digital chronophotography;10.1145/1179849.1179853;2006
32951;DocuDrama conversations;10.1145/1242073.1242184;2002
32954;Diophantine complexity;10.1109/SFCS.1976.13;1976
32957;Discriminative clustering;10.1016/j.neucom.2005.02.012;2005
32963;Disentangling chat;10.1162/coli_a_00003;2010
32967;DNA computing;10.1145/1980022.1980338;2011
32971;Debugging CUDA;10.1145/2001858.2002028;2011
32973;DEBS challenge;10.1145/2002259.2002313;2011
32977;Divide & conquer;10.1145/2070364.2070368;2011
32982;Demo chairs;10.1109/ISMAR.2011.6092345;2011
32989;Discrete Copulas;10.1109/TFUZZ.2006.880003;2006
32995;Deductive closure.;https://doi.org/10.1007/s11229-011-9996-3;2012
32997;Dense completeness;10.1007/978-3-642-31653-1_17;2012
33000;Digital circles;10.1016/0734-189X(83)90077-4;1983
33004;Deep Computing;;2000
33006;Dear colleagues!];10.1016/j.urology.2007.05.015;2013
33009;Distributive Computability;;2003
33011;Displacement Calculus;;2010
33013;Discharging cartwheels.;;2014
33019;Discrete Conics;;2012
33022;Decomposition Complexity;;2010
33027;Diversifying computing;10.1109/MTAS.2003.1237465;2003
33029;Data Certification;;2000
33034;Descriptive complexity;;1999
33036;Dynamic Clustering.;10.1007/s12530-012-9062-5;2012
33040;Database Connectivity;;1995
33042;Dynamic Compilation.;;2007
33045;Data collection;;2004
33049;Database compression;10.1145/163090.163096;1993
33053;Digital cars;10.1145/311625.312011;1999
33055;Delegation Conflicts;10.1007/3-540-63077-5_36;1997
33060;Disproving Conjectures;10.1007/3-540-55602-8_176;1992
33062;Database Cracking;;2007
33067;Designer chaos;10.1016/S0010-4485(00)00127-5;2001
33070;Digital cartography;10.1016/0010-4485(90)90069-O;1990
33072;Demo chairs.;;2013
33076;Definitional Constraints;;1996
33077;Distributed Agency.;;2013
33080;Discretion advised;10.1145/312379.312501;1999
33082;Diluting ACID;10.1145/344816.344843;1999
33088;Database aesthetics;10.1007/BF01205445;2000
33090;Dependence Analysis;;1996
33094;Distributed Algorithms;;1996
33098;Database comparison.;10.1002/asi.4630330111;1982
33101;Description Algebra;10.1007/BFb0015042;1987
33105;Dynamic algebra;10.1145/800182.810420;1974
33108;Distributed attention;10.1145/1031495.1031556;2004
33115;DITA authoring;10.1145/1085313.1085316;2005
33120;Dissertation abstract;10.1177/089124189018001009;1989
33123;Distributed Applets;10.1145/1120212.1120344;1997
33127;Designed animism;10.1145/1176617.1176619;2006
33129;Domino arrangements;10.1145/1272848.1272874;2007
33132;Delegation Assistance;10.1109/POLICY.2009.35;2009
33139;Dueling Algorithms;10.1145/1993636.1993666;2011
33142;Drift analysis;10.1145/2330784.2330939;2012
33147;Divergence analysis;10.1145/2523815;2014
33153;Datalog Automata;;1988
33157;Draft Auctions.;;2013
33162;Deconstructing analogy.;;2013
33165;Die Artefaktkarte.;;2010
33169;DINI Appell;;2001
33170;Distributed ALIVE;10.1145/253607.253864;1996
33174;Domain Algebras;10.1007/3-540-13345-3_13;1984
33177;Data Accessor;;1999
33179;Drift analysis.;;2011
33180;Dopamine anatomy;10.4249/scholarpedia.3737;2007
33181;Dynamic Agents;;1999
33187;Dartboard Arrangements;;2001
33191;Disturbing Arithmetic;;1985
33194;Data analysis.;;2013
33198;Die Assassinen;;2001
33199;Dissertation abstracts;10.1080/02188799008547719;1990
33207;Dissertation abstracts;10.1177/000765039503400108;1995
